0	4	9	D	12	16	1B	20	25	2A	2F	34	39	3E	44	49	4F	55	5B	60	67	6D	73	79	80	86	8D	94	9B	A2	A9	B1	B8	C0	C8	D0	D8	E0	E8	F1	F9	102	10B	114	11E	127	131	13B	145	14F	159	164	16F	17A	185	190	19C	1A7	1B3	1C0	1CC	1D9	1E6	1F3	200
0	2	4	6	9	B	E	10	13	16	19	1C	1F	22	25	29	2C	30	34	38	3C	40	45	49	4E	53	58	5D	63	69	6E	75	7B	82	88	8F	97	9E	A6	AE	B7	C0	C9	D2	DC	E6	F1	FC	107	113	11F	12B	138	146	154	163	172	181	192	1A2	1B4	1C6	1D8	1EC	200
0	1	2	3	4	5	6	8	9	A	C	E	F	11	13	15	17	19	1B	1E	20	23	26	29	2C	30	33	37	3B	3F	44	48	4D	52	58	5E	64	6A	71	78	80	88	90	99	A3	AD	B7	C2	CE	DB	E8	F5	104	113	123	135	147	15A	16E	183	199	1B1	1CA	1E4	200
0	0	1	1	2	2	3	3	4	5	5	6	7	8	9	A	B	C	E	F	11	12	14	16	18	1A	1C	1F	22	24	28	2B	2E	32	36	3B	40	45	4A	50	57	5E	65	6D	75	7F	88	93	9E	AA	B8	C6	D5	E5	F7	109	11E	133	14B	164	17F	19C	1BB	1DC	200


0	8	16	24	32	40	48	56	64	72	80	88	96	104	112	120	128	136	144	152	160	168	176	184	192	200	208	216	224	232	240	248	256	264	272	280	288	296	304	312	320	328	336	344	352	360	368	376	384	392	400	408	416	424	432	440	448	456	464	472	480	488	496	504	512
0	4	9	13	18	22	27	32	37	42	47	52	57	62	68	73	79	85	91	96	103	109	115	121	128	134	141	148	155	162	169	177	184	192	200	208	216	224	232	241	249	258	267	276	286	295	305	315	325	335	345	356	367	378	389	400	412	423	435	448	460	473	486	499	512
0	2	4	6	9	11	14	16	19	22	25	28	31	34	37	41	44	48	52	56	60	64	69	73	78	83	88	93	99	105	110	117	123	130	136	143	151	158	166	174	183	192	201	210	220	230	241	252	263	275	287	299	312	326	340	355	370	385	402	418	436	454	472	492	512
0	1	2	3	4	5	6	8	9	10	12	14	15	17	19	21	23	25	27	30	32	35	38	41	44	48	51	55	59	63	68	72	77	82	88	94	100	106	113	120	128	136	144	153	163	173	183	194	206	219	232	245	260	275	291	309	327	346	366	387	409	433	458	484	512
0	0	1	1	2	2	3	3	4	5	5	6	7	8	9	10	11	12	14	15	17	18	20	22	24	26	28	31	34	36	40	43	46	50	54	59	64	69	74	80	87	94	101	109	117	127	136	147	158	170	184	198	213	229	247	265	286	307	331	356	383	412	443	476	512
